,bt,bz,yogunluk,hız,kp
146,2.6,-1.6,4.4,452.0,17.0
147,2.9,-1.5,3.7,458.0,17.0
148,2.0,-0.3,4.0,449.0,17.0
149,2.6,0.1,3.5,440.0,10.0
150,2.9,0.1,4.2,449.0,10.0
151,3.0,-1.0,4.4,446.0,10.0
152,2.6,2.2,5.0,441.0,3.0
153,3.7,3.2,5.0,441.0,3.0
154,3.7,1.2,5.4,436.0,3.0
155,3.4,0.1,5.8,428.0,7.0
156,3.6,-0.4,5.1,440.0,7.0
157,4.0,-1.7,5.8,437.0,7.0
158,4.0,-1.9,5.8,438.0,10.0
159,3.0,-0.6,6.5,426.0,10.0
160,3.7,-0.6,6.4,417.0,10.0
161,3.5,-1.7,6.2,411.0,13.0
162,3.2,-1.0,6.7,407.0,13.0
163,3.8,-0.7,6.2,412.0,13.0
164,3.5,-1.0,5.6,406.0,20.0
165,3.1,0.3,4.7,389.0,20.0
166,3.1,-0.2,3.5,380.0,20.0
167,3.3,-0.9,3.3,380.0,10.0
168,3.4,-1.5,3.0,375.0,10.0
169,3.9,-0.3,3.5,382.0,10.0
170,3.7,-1.2,3.7,386.0,10.0
171,3.3,-0.9,3.9,375.0,10.0
172,3.2,-0.1,5.2,383.0,10.0
173,2.7,0.3,5.6,386.0,3.0
174,2.9,-0.1,5.5,382.0,3.0
176,3.4,-0.5,5.2,370.0,3.0
177,3.4,0.2,5.0,366.0,3.0
178,3.5,-0.1,5.1,363.0,3.0
179,4.8,0.8,5.5,384.0,17.0
180,4.6,0.3,4.6,399.0,17.0
181,6.2,-3.5,4.6,396.0,17.0
182,5.0,2.2,3.7,390.0,27.0
183,5.4,-3.1,3.1,393.0,27.0
184,5.7,-3.3,3.1,388.0,27.0
185,5.3,-1.8,3.1,381.0,17.0
186,5.2,-3.6,3.5,378.0,17.0
187,6.1,-5.4,3.2,394.0,17.0
188,6.2,-4.1,2.8,401.0,23.0
189,3.6,-1.8,4.0,421.0,23.0
190,4.9,-2.2,3.4,418.0,23.0
191,6.1,-1.6,2.6,432.0,27.0
192,6.4,-1.2,2.3,437.0,27.0
193,6.4,-1.9,2.5,418.0,27.0
194,7.2,-0.2,3.6,415.0,30.0
195,8.8,3.3,4.9,415.0,30.0
196,10.0,2.9,4.8,407.0,30.0
197,8.6,-2.7,5.4,412.0,37.0
198,7.5,-4.2,4.8,424.0,37.0
199,7.2,-5.6,5.9,428.0,37.0
200,6.8,-3.2,5.8,421.0,23.0
201,6.1,-1.4,5.4,406.0,23.0
202,5.2,-2.0,7.5,425.0,23.0
203,6.1,-0.6,8.3,437.0,17.0
