,bt,bz,yogunluk,hız,kp
12598,2.5,-0.9,3.3,413.0,7.0
12599,2.4,-1.2,3.6,421.0,13.0
12600,2.5,-0.4,3.7,411.0,13.0
12601,2.3,-1.0,3.8,403.0,13.0
12602,2.3,-1.9,4.0,393.0,13.0
12603,1.9,-1.7,4.5,384.0,13.0
12604,1.8,-1.3,4.3,382.0,13.0
12605,2.3,-1.8,4.3,378.0,10.0
12606,2.0,-0.2,4.3,378.0,10.0
12607,2.3,-1.5,4.4,382.0,10.0
12608,2.4,-1.3,4.4,385.0,3.0
12609,2.7,-1.3,4.1,389.0,3.0
12610,2.8,-0.7,3.9,386.0,3.0
12611,2.4,-0.5,4.2,382.0,3.0
12612,2.4,0.1,4.0,377.0,3.0
12613,2.5,0.2,3.9,378.0,3.0
12615,2.5,-0.3,4.1,368.0,3.0
12616,2.7,-0.5,4.3,359.0,3.0
12617,2.3,0.4,4.5,365.0,7.0
12618,2.1,0.8,4.6,372.0,7.0
12619,2.9,1.2,3.5,369.0,7.0
12620,2.5,0.1,3.6,364.0,0.0
12621,2.2,-0.3,3.8,361.0,0.0
12622,2.5,-0.6,3.4,366.0,0.0
12623,2.6,-0.4,3.2,365.0,10.0
12624,2.7,-0.5,2.9,362.0,10.0
12625,2.2,-0.3,3.3,360.0,10.0
12626,1.8,-0.7,4.1,358.0,3.0
12627,2.2,-0.8,3.9,358.0,3.0
12629,2.1,1.1,4.9,358.0,3.0
12630,2.6,1.4,5.3,354.0,3.0
12631,2.8,0.4,5.4,353.0,3.0
12632,3.4,0.1,6.4,353.0,3.0
12633,2.8,-1.4,6.4,352.0,3.0
12634,2.7,-0.8,6.7,346.0,3.0
12636,2.2,0.1,8.7,345.0,10.0
12637,3.3,0.8,7.0,342.0,10.0
12638,3.6,1.3,5.6,339.0,20.0
12639,3.9,-2.1,5.5,342.0,20.0
12640,3.8,2.7,7.3,339.0,20.0
12641,3.7,3.3,7.5,335.0,13.0
12642,3.6,1.7,6.7,349.0,13.0
12643,3.0,1.6,6.9,352.0,13.0
12644,3.4,-2.1,7.0,356.0,17.0
12645,3.2,-1.5,7.6,355.0,17.0
12646,4.0,-1.0,8.0,345.0,17.0
12647,5.4,-1.7,7.4,334.0,23.0
12648,4.7,-3.6,10.9,342.0,23.0
12649,6.3,-6.1,8.3,356.0,23.0
12650,7.5,-6.9,5.0,360.0,27.0
12651,7.7,-7.0,4.8,361.0,27.0
12652,7.6,-6.5,6.1,358.0,27.0
12653,7.6,-6.6,6.3,359.0,20.0
12654,7.6,-6.2,6.6,357.0,20.0
12655,7.7,-7.1,5.2,359.0,20.0
12656,7.5,-7.0,6.0,358.0,17.0
12657,7.8,-7.4,6.0,359.0,17.0
12658,8.1,-7.2,6.0,359.0,17.0
12659,7.9,-7.1,7.3,357.0,23.0
12660,7.7,-4.8,7.6,343.0,23.0
12661,7.6,-3.7,7.8,338.0,23.0
12662,7.2,-1.5,8.3,333.0,17.0
12663,6.9,1.0,7.9,337.0,17.0
12664,7.0,1.8,6.7,340.0,17.0
12665,7.1,1.5,5.5,343.0,13.0
12666,7.2,1.0,5.2,342.0,13.0
12667,7.1,2.6,6.6,343.0,13.0
12668,7.4,-0.9,6.9,339.0,23.0
12669,5.9,-1.4,8.0,346.0,23.0
12670,6.8,-2.4,9.4,346.0,23.0
12671,8.0,-6.2,10.6,345.0,30.0
12672,7.7,-5.5,11.7,342.0,30.0
12673,8.0,-7.5,10.8,346.0,30.0
12674,7.3,-4.1,13.1,348.0,37.0
12675,7.8,-2.0,11.5,349.0,37.0
12676,8.6,1.6,9.6,343.0,37.0
12677,8.0,2.3,11.6,341.0,13.0
12678,9.4,5.4,8.2,348.0,13.0
12679,9.0,3.8,9.9,361.0,13.0
12680,7.7,0.9,15.3,354.0,20.0
12681,6.8,3.4,18.1,357.0,20.0
12682,6.0,-0.3,21.5,359.0,20.0
12683,7.0,3.7,16.2,358.0,23.0
12684,7.5,6.2,13.5,367.0,23.0
12685,8.5,7.0,8.3,352.0,23.0
12686,8.4,1.8,5.5,389.0,20.0
12687,7.9,-0.4,4.9,412.0,20.0
12688,7.4,-1.5,4.7,407.0,20.0
12689,6.3,1.8,5.4,428.0,13.0
12690,6.0,4.8,5.6,447.0,13.0
12691,6.6,4.7,4.6,445.0,13.0
12692,6.3,3.9,3.6,454.0,13.0
12693,3.5,0.9,3.9,467.0,13.0
12694,4.5,-3.0,4.3,473.0,13.0
12695,5.9,-4.1,4.5,464.0,30.0
12696,6.4,-3.0,4.9,463.0,30.0
12697,5.5,-2.2,5.0,463.0,30.0
12698,6.0,-1.6,3.7,477.0,27.0
12699,5.3,0.8,2.7,488.0,27.0
12700,5.1,0.4,2.3,486.0,27.0
12701,4.8,1.2,2.6,471.0,3.0
12702,4.7,1.9,2.7,460.0,3.0
12703,4.2,2.0,2.7,462.0,3.0
12704,4.1,2.7,3.0,464.0,7.0
12705,4.2,2.8,3.1,456.0,7.0
12706,4.2,2.3,3.3,454.0,7.0
12707,4.2,2.4,3.7,445.0,3.0
12708,4.3,2.5,3.8,438.0,3.0
12709,4.7,2.6,4.1,440.0,3.0
12710,4.4,3.1,4.4,442.0,10.0
12711,4.5,1.3,4.1,445.0,10.0
12712,4.2,-1.0,4.1,446.0,10.0
12713,4.6,3.0,4.0,432.0,3.0
12714,4.4,3.6,3.7,433.0,3.0
12715,3.8,3.0,3.5,441.0,3.0
12716,3.6,2.8,3.3,436.0,0.0
12717,3.5,2.4,2.8,434.0,0.0
12718,3.2,1.4,2.7,440.0,0.0
12719,3.3,1.1,2.7,433.0,7.0
12720,3.3,-0.6,2.5,430.0,7.0
12721,3.2,0.9,2.4,425.0,7.0
12722,3.3,1.5,2.5,426.0,3.0
12723,3.3,1.4,2.5,426.0,3.0
12724,3.2,-1.2,2.7,431.0,3.0
12725,3.2,-0.8,2.5,424.0,7.0
12726,3.3,-1.7,2.8,421.0,7.0
12727,3.0,-1.6,2.7,415.0,7.0
12728,3.1,-2.1,3.1,418.0,10.0
12729,3.6,0.2,3.1,402.0,10.0
12730,3.9,1.9,2.7,392.0,10.0
12731,3.8,-0.8,3.5,388.0,7.0
12733,4.1,1.2,2.8,364.0,7.0
12734,4.0,1.2,2.8,369.0,3.0
12735,4.0,0.6,2.9,357.0,3.0
12736,4.2,-0.8,3.4,361.0,3.0
12737,4.3,-0.1,3.0,353.0,13.0
12738,3.8,0.9,4.3,345.0,13.0
12739,3.8,-0.6,5.8,350.0,13.0
12740,3.5,-1.3,10.1,344.0,17.0
12741,2.4,-1.1,12.2,331.0,17.0
12743,1.9,0.4,22.4,330.0,17.0
12744,1.8,0.7,23.0,333.0,17.0
12745,4.8,-0.3,17.1,341.0,17.0
12746,7.3,2.6,7.9,348.0,13.0
12747,7.2,-0.2,8.3,354.0,13.0
12748,8.0,-1.7,8.2,360.0,13.0
12749,7.6,3.4,8.2,361.0,17.0
12750,8.2,5.1,9.0,363.0,17.0
12751,9.8,4.7,14.4,382.0,17.0
12752,8.6,3.0,22.3,388.0,17.0
12753,8.1,1.4,31.6,386.0,17.0
12754,7.2,-4.1,36.1,381.0,17.0
12755,7.2,-2.4,42.2,384.0,33.0
12756,14.7,2.5,7.2,477.0,33.0
12757,10.8,-0.2,7.8,540.0,33.0
12758,10.6,-0.3,6.8,561.0,37.0
12759,11.6,-3.5,7.6,541.0,37.0
12760,10.8,-2.3,7.6,563.0,37.0
12761,9.9,-0.3,7.6,550.0,50.0
12762,8.7,-1.3,6.8,547.0,50.0
12763,9.3,-1.6,5.2,545.0,50.0
12764,9.2,-3.6,4.7,559.0,37.0
12765,8.3,2.0,5.2,576.0,37.0
12766,7.2,-2.1,5.0,585.0,37.0
12767,5.7,-1.6,4.9,593.0,40.0
12768,5.6,-1.8,4.4,605.0,40.0
12769,5.6,-1.0,3.3,573.0,40.0
12770,5.7,-0.7,2.7,561.0,30.0
12771,4.8,-0.5,2.8,584.0,30.0
12772,4.2,-1.5,3.1,610.0,30.0
12773,4.3,-1.1,2.8,586.0,23.0
12774,4.8,0.1,2.4,573.0,23.0
12775,5.1,1.1,2.0,604.0,23.0
12776,4.5,0.5,2.1,610.0,23.0
12777,4.1,0.2,2.3,591.0,23.0
12778,4.2,0.9,2.3,592.0,23.0
12779,3.7,-0.2,2.5,606.0,20.0
12780,3.4,-0.7,2.7,593.0,20.0
12781,3.8,-0.9,2.2,614.0,20.0
12782,4.0,-0.7,2.4,614.0,27.0
12783,4.5,-2.8,2.1,611.0,27.0
12784,3.2,-0.4,2.0,599.0,27.0
12785,3.5,0.2,2.2,585.0,23.0
12786,3.9,-2.0,1.8,582.0,23.0
12787,3.2,1.1,1.8,580.0,23.0
12788,3.0,-1.2,1.7,584.0,30.0
12789,3.1,-1.0,1.9,584.0,30.0
12790,3.0,-0.5,1.9,569.0,30.0
12791,3.1,-0.2,1.9,561.0,13.0
12792,3.2,1.4,2.0,559.0,13.0
12793,3.1,1.3,2.1,568.0,13.0
12794,3.3,-0.8,2.2,571.0,23.0
12795,3.3,-1.3,2.3,562.0,23.0
12796,3.3,-1.1,2.4,545.0,23.0
12797,3.8,-0.2,2.2,537.0,20.0
12798,3.6,-0.3,2.5,545.0,20.0
12799,3.6,0.2,2.5,538.0,20.0
12800,3.7,0.2,2.5,530.0,7.0
12801,3.8,0.2,2.7,536.0,7.0
12803,3.6,1.6,2.9,530.0,13.0
12804,3.9,-0.6,2.6,538.0,13.0
12806,4.2,-1.2,2.4,531.0,17.0
12807,4.3,0.6,2.3,506.0,17.0
12808,4.4,1.2,2.3,506.0,17.0
12809,4.4,-0.7,2.5,526.0,10.0
12810,3.7,1.4,2.6,518.0,10.0
12811,3.5,1.4,2.6,517.0,10.0
12812,3.6,1.6,2.8,516.0,7.0
12813,4.1,1.8,2.4,500.0,7.0
12814,4.2,1.0,2.6,503.0,7.0
12815,4.2,-1.6,2.5,501.0,20.0
12816,3.7,-2.2,2.4,503.0,20.0
12817,3.6,-1.7,2.6,502.0,20.0
12818,3.8,-2.8,2.6,500.0,17.0
12819,3.6,-1.0,2.6,503.0,17.0
12820,3.9,-2.3,2.6,498.0,17.0
12821,3.8,-1.6,2.7,506.0,17.0
12822,4.1,-0.4,3.0,508.0,17.0
12823,4.4,-0.7,3.0,494.0,17.0
12824,4.6,-1.9,2.9,481.0,17.0
12825,4.7,-2.3,2.8,481.0,17.0
12826,4.7,-1.4,2.7,475.0,17.0
12827,4.6,-1.4,2.9,482.0,23.0
12828,4.8,-0.5,2.6,479.0,23.0
12829,5.0,0.9,2.0,472.0,23.0
12830,5.0,0.9,2.2,470.0,10.0
12831,4.7,0.4,2.0,472.0,10.0
12832,4.2,-0.9,2.6,507.0,10.0
12833,4.4,-0.1,2.5,486.0,13.0
12834,4.1,0.4,2.3,481.0,13.0
12835,4.0,0.4,2.2,481.0,13.0
12836,3.9,0.4,1.6,471.0,13.0
12837,3.6,-0.1,1.5,469.0,13.0
12838,3.4,-0.1,1.8,477.0,13.0
12839,3.1,-0.6,1.7,478.0,13.0
12840,3.4,-0.2,1.6,475.0,13.0
12841,3.4,-1.5,1.8,476.0,13.0
12842,3.2,-1.0,1.8,477.0,10.0
12843,2.6,-0.4,1.9,480.0,10.0
12844,2.5,-0.4,1.8,488.0,10.0
12845,2.7,-0.4,1.7,473.0,10.0
12846,2.7,-0.8,1.8,473.0,10.0
12847,2.8,-0.1,1.8,475.0,10.0
12848,2.7,-0.4,2.0,465.0,7.0
12849,2.9,-0.2,2.1,463.0,7.0
12850,3.7,0.9,1.7,455.0,7.0
12851,3.4,0.7,1.8,454.0,3.0
12852,3.2,0.4,1.9,452.0,3.0
12853,3.1,-0.2,1.9,448.0,3.0
12854,3.3,-0.6,1.9,439.0,7.0
12855,2.5,-0.8,2.2,438.0,7.0
12856,3.5,-0.2,1.9,435.0,7.0
12857,3.7,0.7,1.5,416.0,3.0
12858,3.7,0.6,1.6,423.0,3.0
12859,3.8,1.0,2.1,442.0,3.0
12860,3.9,1.4,2.2,436.0,7.0
12861,3.8,0.3,2.6,444.0,7.0
12862,4.0,1.4,2.0,416.0,7.0
12863,3.7,0.8,2.7,433.0,7.0
12864,3.7,0.4,2.6,437.0,7.0
12865,3.2,0.7,2.6,426.0,7.0
12867,2.8,-0.2,2.9,420.0,10.0
12868,2.6,-0.7,3.2,426.0,10.0
12869,2.6,1.7,3.1,425.0,3.0
12870,2.8,1.5,2.9,421.0,3.0
12871,3.2,1.2,2.3,408.0,3.0
12872,3.2,-0.2,2.1,401.0,3.0
12873,3.1,0.2,2.5,404.0,3.0
12874,3.1,-0.3,2.4,390.0,3.0
12875,3.2,0.6,2.5,388.0,3.0
12876,3.4,2.2,3.3,404.0,3.0
12877,3.6,0.6,3.5,398.0,3.0
12878,3.8,1.9,3.9,404.0,3.0
12879,3.8,1.4,4.5,409.0,3.0
12880,3.7,0.6,4.9,408.0,3.0
12881,4.1,1.4,5.1,407.0,10.0
12882,4.7,1.1,5.0,403.0,10.0
12883,5.0,1.0,4.9,400.0,10.0
12884,5.5,-2.6,4.3,398.0,27.0
12885,5.2,-2.8,4.5,388.0,27.0
12886,5.0,-2.7,5.4,382.0,27.0
12887,4.3,-2.4,8.1,375.0,7.0
12888,4.9,-1.4,7.5,369.0,7.0
12889,4.8,-0.9,8.1,367.0,7.0
12890,4.4,0.6,8.2,369.0,3.0
12891,3.8,1.5,8.6,369.0,3.0
12892,3.3,1.4,9.3,367.0,3.0
12893,3.7,1.7,8.4,364.0,0.0
12894,4.0,2.1,7.8,363.0,0.0
12895,3.5,0.5,6.7,357.0,0.0
12896,3.7,0.8,6.0,356.0,7.0
12897,4.0,1.0,5.1,351.0,7.0
12898,4.5,-0.5,5.1,364.0,7.0
12899,4.6,0.4,4.9,361.0,10.0
12900,4.4,0.2,4.9,362.0,10.0
12901,4.4,0.6,4.7,362.0,10.0
12902,4.5,0.9,4.2,357.0,10.0
12903,4.3,1.0,3.9,351.0,10.0
12904,4.3,-1.7,4.0,357.0,10.0
12905,4.5,-0.2,4.1,363.0,13.0
12906,5.0,-1.2,4.1,363.0,13.0
12907,4.8,-0.4,4.3,363.0,13.0
12908,5.0,-0.1,3.5,340.0,10.0
12910,5.5,-0.3,4.2,364.0,10.0
12911,5.9,-1.1,4.6,368.0,13.0
12912,6.3,0.5,4.6,368.0,13.0
12913,5.8,0.3,7.4,381.0,13.0
12914,5.3,-1.9,10.4,386.0,23.0
12915,6.3,-5.0,10.8,385.0,23.0
12916,6.5,-2.2,10.9,380.0,23.0
12917,7.9,-1.2,4.1,373.0,13.0
12918,7.8,-0.2,5.2,369.0,13.0
12919,7.9,-0.1,4.8,363.0,13.0
12920,7.9,0.1,5.2,366.0,13.0
12921,7.8,0.3,5.6,356.0,13.0
12922,8.0,-0.8,5.3,350.0,13.0
12923,8.3,0.4,5.6,344.0,20.0
12924,7.2,3.8,11.8,347.0,20.0
12925,5.6,5.2,13.0,349.0,20.0
12926,3.6,2.5,12.4,346.0,10.0
12927,3.8,-0.6,9.7,347.0,10.0
12928,3.4,2.4,8.3,347.0,10.0
12929,4.3,3.0,6.1,344.0,7.0
12930,4.4,1.3,5.3,342.0,7.0
12931,4.2,-3.1,5.2,348.0,7.0
12932,4.0,-3.0,5.7,353.0,13.0
12933,3.7,-1.6,5.9,350.0,13.0
12934,3.8,-2.5,6.9,355.0,13.0
12935,3.8,-0.4,6.8,355.0,23.0
12936,4.0,-1.0,5.7,355.0,23.0
12937,4.5,0.2,5.1,350.0,23.0
12938,4.2,1.3,5.3,348.0,10.0
12939,4.2,0.3,5.4,346.0,10.0
12941,4.9,-0.1,3.7,340.0,7.0
12942,4.8,0.5,3.7,337.0,7.0
12943,5.0,-0.1,4.6,344.0,7.0
12944,5.3,0.3,5.6,345.0,7.0
12945,4.7,1.6,5.1,344.0,7.0
12946,4.6,2.3,5.0,350.0,7.0
12947,3.8,1.7,5.9,359.0,7.0
12948,4.3,2.7,5.4,352.0,7.0
12949,4.1,1.0,3.9,348.0,7.0
12950,4.4,1.9,3.6,353.0,3.0
12951,4.5,1.4,3.6,350.0,3.0
12952,4.5,0.7,3.7,348.0,3.0
12953,4.5,-0.4,3.4,347.0,3.0
12954,4.0,0.7,3.3,342.0,3.0
12955,3.9,0.9,3.3,341.0,3.0
12956,3.9,1.1,3.6,340.0,0.0
12957,3.8,0.9,3.6,337.0,0.0
12958,3.7,1.4,3.5,335.0,0.0
12959,3.8,2.4,3.6,335.0,3.0
12960,3.9,0.8,3.5,328.0,3.0
12961,3.6,-0.3,3.8,333.0,3.0
12962,3.5,-0.5,4.3,336.0,7.0
12963,3.9,-1.6,3.8,328.0,7.0
12964,3.9,0.4,4.0,326.0,7.0
12965,3.9,-1.6,4.8,336.0,10.0
12966,3.7,-1.7,5.2,338.0,10.0
12967,3.7,-1.1,5.5,338.0,10.0
12968,3.9,-1.1,5.5,336.0,3.0
12969,4.0,-1.0,6.2,336.0,3.0
12970,4.0,-2.1,7.2,345.0,3.0
12971,4.1,-0.8,7.8,347.0,10.0
12972,4.2,-0.3,8.7,352.0,10.0
12973,4.7,2.6,9.2,362.0,10.0
12974,5.4,3.1,9.6,363.0,10.0
12975,5.8,2.9,9.8,373.0,10.0
12976,6.1,3.8,9.3,371.0,10.0
12977,6.0,2.3,9.2,375.0,17.0
12978,5.4,4.4,8.5,374.0,17.0
12979,5.3,0.4,9.0,374.0,17.0
12980,6.2,0.4,8.2,374.0,23.0
12981,6.5,-1.3,8.4,371.0,23.0
12982,7.5,1.3,7.8,369.0,23.0
12983,7.3,4.2,8.4,356.0,30.0
12984,6.7,-1.4,7.1,357.0,30.0
12985,5.8,4.5,6.6,364.0,30.0
12986,4.9,3.5,6.9,371.0,17.0
12987,5.9,4.1,6.3,371.0,17.0
12988,6.2,3.1,5.8,366.0,17.0
12989,6.4,2.3,4.8,372.0,13.0
12990,5.8,-2.0,4.3,374.0,13.0
12991,4.3,-0.6,5.1,397.0,13.0
12992,4.4,-1.2,5.4,412.0,13.0
12993,4.1,-1.8,5.1,402.0,13.0
12994,4.3,-1.4,4.8,395.0,13.0
12995,4.3,-0.4,4.5,387.0,13.0
12996,4.2,-1.8,4.5,389.0,13.0
12997,5.0,1.3,3.8,390.0,13.0
12998,4.8,1.4,3.9,393.0,10.0
12999,4.5,-0.1,4.0,386.0,10.0
13000,4.1,-0.1,4.0,388.0,10.0
13001,4.1,1.5,4.0,389.0,7.0
13002,3.8,2.1,4.0,389.0,7.0
13003,3.8,1.2,3.9,386.0,7.0
13011,3.9,0.3,4.1,386.0,3.0
13012,4.5,-1.1,4.0,390.0,3.0
13013,4.7,0.1,4.0,388.0,7.0
13014,4.5,1.3,4.1,377.0,7.0
13015,4.7,-2.0,4.1,382.0,7.0
13016,4.6,-2.0,3.9,377.0,13.0
13017,4.1,-1.6,4.2,371.0,13.0
13018,4.6,-2.6,4.3,376.0,13.0
13019,4.7,-2.8,4.5,380.0,13.0
13020,5.0,-2.2,4.7,383.0,13.0
13021,5.5,-0.9,4.6,375.0,13.0
13022,5.7,0.9,4.6,377.0,10.0
13023,5.4,3.1,4.6,381.0,10.0
13052,3.9,0.5,5.2,339.0,7.0
13053,3.2,-0.4,5.3,343.0,7.0
13054,3.0,-0.6,6.6,354.0,7.0
13055,3.6,0.9,6.9,358.0,10.0
13056,4.1,-0.3,6.4,358.0,10.0
13057,4.8,0.8,6.1,351.0,10.0
13058,3.9,1.5,5.7,353.0,3.0
13059,3.9,0.6,5.0,356.0,3.0
13060,4.0,0.2,4.4,361.0,3.0
13061,3.9,-0.6,4.3,355.0,3.0
13062,3.0,-0.4,4.7,346.0,3.0
13064,1.7,-0.4,5.2,340.0,3.0
13065,2.5,-0.6,4.6,337.0,3.0
13066,3.0,1.0,4.0,335.0,3.0
13067,2.8,-0.8,4.2,335.0,7.0
13068,2.7,-0.7,4.1,342.0,7.0
13069,2.6,0.4,4.4,349.0,7.0
13070,2.2,-0.2,4.4,341.0,10.0
13071,1.3,-0.2,4.7,328.0,10.0
13072,1.9,-0.4,4.8,322.0,10.0
13073,2.0,0.5,4.7,325.0,7.0
13074,2.3,-0.3,4.8,321.0,7.0
13075,2.5,-0.3,5.0,318.0,7.0
13076,2.6,0.4,5.0,319.0,7.0
13077,2.9,0.8,5.1,320.0,7.0
13078,3.1,0.8,5.2,321.0,7.0
13079,3.0,1.4,5.4,319.0,10.0
13080,3.0,1.1,5.4,320.0,10.0
13081,3.1,1.2,5.0,325.0,10.0
13082,3.2,0.9,4.9,325.0,3.0
13083,3.5,1.4,4.4,326.0,3.0
13086,3.4,-0.5,4.9,324.0,7.0
13087,3.4,-0.4,5.4,325.0,7.0
13088,4.0,2.2,5.5,327.0,7.0
13089,4.0,0.7,5.9,325.0,7.0
13090,3.9,-0.1,6.6,327.0,7.0
13091,4.0,-0.6,7.2,329.0,17.0
13092,3.8,-2.9,7.4,332.0,17.0
13093,4.5,-2.1,7.5,336.0,17.0
13094,4.3,0.5,8.7,327.0,20.0
13095,5.2,-4.0,7.8,335.0,20.0
13096,4.5,-3.2,6.6,334.0,20.0
13097,4.1,-1.3,6.3,341.0,23.0
13098,3.8,-2.2,6.2,335.0,23.0
13099,2.9,-1.3,6.4,337.0,23.0
13100,3.1,0.3,6.3,337.0,3.0
13101,2.9,0.1,6.8,340.0,3.0
13102,3.6,1.5,6.8,346.0,3.0
13103,3.6,2.3,7.0,345.0,3.0
13104,3.2,2.4,6.9,340.0,3.0
13105,2.7,1.8,7.2,336.0,3.0
13106,3.5,-0.4,13.2,346.0,20.0
13107,4.5,-1.4,19.3,353.0,20.0
13108,5.8,-3.2,19.3,349.0,20.0
13109,6.0,-3.5,19.0,348.0,27.0
13110,6.2,-5.0,18.8,344.0,27.0
13111,8.5,-8.2,18.3,351.0,27.0
13112,8.9,1.5,16.3,365.0,30.0
13113,9.2,1.6,7.6,373.0,30.0
13114,9.5,0.6,4.7,372.0,30.0
13115,8.0,0.7,4.1,366.0,13.0
13116,6.9,0.6,7.2,387.0,13.0
13117,8.3,3.4,6.5,383.0,13.0
13118,7.1,2.2,7.7,402.0,30.0
13119,6.6,-1.3,7.2,429.0,30.0
13120,6.5,1.2,6.3,446.0,30.0
13121,6.0,-1.9,6.1,478.0,37.0
13122,9.3,-6.4,4.6,493.0,37.0
13123,9.4,-6.4,2.7,498.0,37.0
13124,8.8,-3.3,6.4,511.0,40.0
13125,8.6,5.1,10.1,514.0,40.0
13126,10.3,0.6,7.8,514.0,40.0
13127,10.6,-1.2,9.6,509.0,30.0
13128,10.8,-6.0,13.3,490.0,30.0
13129,10.1,6.9,10.2,490.0,30.0
13130,10.1,7.0,10.4,486.0,23.0
13131,11.5,8.8,7.2,482.0,23.0
13132,8.4,5.9,10.0,489.0,23.0
13133,9.1,6.2,6.7,506.0,10.0
13134,9.7,7.2,4.8,499.0,10.0
13135,10.7,6.4,2.4,495.0,10.0
13136,9.6,1.8,1.1,501.0,7.0
13137,9.5,1.5,0.8,486.0,7.0
13138,8.4,2.7,1.1,487.0,7.0
13139,8.1,3.8,1.8,515.0,3.0
13140,7.9,3.9,1.6,502.0,3.0
13141,7.3,3.3,1.8,496.0,3.0
13142,7.0,5.1,2.0,513.0,7.0
13143,5.7,3.7,2.1,498.0,7.0
13144,5.9,4.0,2.6,502.0,7.0
13145,5.8,2.7,2.7,501.0,7.0
13146,4.0,1.5,2.7,485.0,7.0
13147,6.1,2.2,1.8,448.0,7.0
13148,7.5,4.2,1.7,433.0,7.0
13149,7.5,3.9,2.1,432.0,7.0
13150,7.2,1.1,2.2,446.0,7.0
13151,7.4,-0.6,2.2,465.0,7.0
13152,7.2,0.2,1.6,462.0,7.0
13153,7.3,1.5,1.7,469.0,7.0
13154,7.4,1.4,1.6,462.0,13.0
13155,7.1,-1.6,1.5,459.0,13.0
13156,5.6,-0.3,3.3,450.0,13.0
13157,5.7,0.6,2.8,426.0,13.0
13158,6.3,0.4,3.1,428.0,13.0
13159,6.2,-0.8,2.8,423.0,13.0
13160,6.1,-0.1,3.3,422.0,10.0
13161,5.9,-1.7,3.5,426.0,10.0
13162,5.7,-1.4,2.9,405.0,10.0
13163,5.5,0.8,3.4,425.0,10.0
13164,4.5,1.7,4.2,441.0,10.0
13165,4.6,-0.3,3.2,417.0,10.0
13166,5.3,-1.2,3.9,456.0,17.0
13167,5.3,-0.1,3.2,449.0,17.0
13168,5.7,0.5,2.6,454.0,17.0
13169,5.5,0.6,2.0,463.0,10.0
13170,5.7,1.0,1.4,481.0,10.0
13171,5.4,-0.5,1.2,505.0,10.0
13172,4.2,-0.5,1.9,532.0,10.0
13173,3.8,0.8,1.7,539.0,10.0
13174,3.8,0.3,1.0,518.0,10.0
13175,4.0,-0.1,1.3,528.0,20.0
13176,4.3,-0.4,1.6,529.0,20.0
13177,4.4,-0.9,1.4,521.0,20.0
13178,4.1,-1.2,1.4,512.0,7.0
13179,4.0,-0.6,1.1,505.0,7.0
13180,3.9,-1.5,1.4,508.0,7.0
13181,4.1,-2.0,1.2,501.0,13.0
13182,4.7,-1.4,1.2,458.0,13.0
13183,4.9,-0.3,1.2,455.0,13.0
13184,4.7,-1.1,1.5,444.0,7.0
13185,4.6,-0.7,1.5,442.0,7.0
13186,4.6,-0.2,1.4,438.0,7.0
13187,4.5,-0.1,1.0,440.0,10.0
13188,4.6,0.7,1.0,430.0,10.0
13189,4.1,0.4,1.7,434.0,10.0
13190,2.8,0.2,3.0,431.0,7.0
13191,2.9,0.6,3.3,382.0,7.0
13192,3.3,0.6,3.1,371.0,7.0
13193,3.2,0.4,3.1,365.0,3.0
13194,3.2,0.1,3.0,360.0,3.0
13195,3.2,0.8,2.9,360.0,3.0
13196,3.6,-0.2,2.1,360.0,0.0
13197,3.0,0.2,3.6,364.0,0.0
13198,3.1,0.4,3.8,360.0,0.0
13199,3.3,-0.1,3.5,362.0,3.0
13200,3.4,-0.9,4.1,364.0,3.0
13201,3.3,-0.9,4.4,361.0,3.0
13202,3.8,-2.3,3.9,363.0,13.0
13203,3.6,-0.6,3.9,355.0,13.0
13204,3.4,-0.9,4.2,350.0,13.0
13205,3.2,-1.4,4.4,346.0,7.0
13206,2.5,-1.7,5.6,347.0,7.0
13207,2.4,0.2,5.7,351.0,7.0
13208,2.3,1.3,6.0,351.0,3.0
13209,2.5,1.6,5.5,354.0,3.0
13210,2.7,2.0,4.7,352.0,3.0
13211,1.9,1.0,5.5,347.0,3.0
13212,1.8,0.3,5.6,348.0,3.0
13213,1.5,0.8,6.0,342.0,3.0
13214,1.5,1.1,5.7,342.0,7.0
13215,1.6,0.3,5.9,342.0,7.0
13217,1.9,0.8,4.7,329.0,3.0
13218,1.3,0.2,5.1,328.0,3.0
13219,1.9,0.6,4.7,324.0,3.0
13220,1.9,0.6,4.5,321.0,3.0
13221,2.1,0.1,4.2,314.0,3.0
13222,2.4,-0.1,3.8,315.0,3.0
13223,2.2,0.5,4.2,316.0,20.0
13224,1.7,0.8,4.6,313.0,20.0
13225,3.2,-0.4,7.4,334.0,20.0
13226,2.8,0.1,10.7,336.0,13.0
13227,3.8,-0.1,11.7,333.0,13.0
13228,4.8,1.5,11.9,338.0,13.0
13229,5.6,4.8,10.8,349.0,10.0
13230,4.9,4.7,12.1,342.0,10.0
13231,5.1,4.3,11.1,341.0,10.0
13232,5.6,4.2,9.5,343.0,20.0
13233,6.5,3.7,6.6,340.0,20.0
13234,7.1,1.8,5.1,338.0,20.0
13235,7.3,-0.8,4.8,336.0,20.0
13236,7.5,-1.5,4.2,334.0,20.0
13237,7.7,-2.9,5.8,338.0,20.0
13238,7.9,-5.0,5.8,340.0,13.0
13239,7.6,-5.5,7.0,338.0,13.0
13240,6.9,-6.5,10.7,341.0,13.0
13241,7.4,-6.8,6.6,337.0,27.0
